,text,tokens,filtered_tokens,tagged_tokens,nouns
110,"Like all the other reviews mentioned, the pizza place is down a long hallway--walls decorated in album covers","['Like', 'all', 'the', 'other', 'reviews', 'mentioned', ',', 'the', 'pizza', 'place', 'is', 'down', 'a', 'long', 'hallway', '--', 'walls', 'decorated', 'in', 'album', 'covers']","['like', 'reviews', 'mentioned', ',', 'pizza', 'place', 'long', 'hallway', '--', 'walls', 'decorated', 'album', 'covers']","[('like', 'IN'), ('reviews', 'NNS'), ('mentioned', 'VBN'), (',', ','), ('pizza', 'JJ'), ('place', 'NN'), ('long', 'JJ'), ('hallway', 'NN'), ('--', ':'), ('walls', 'NNS'), ('decorated', 'VBN'), ('album', 'JJ'), ('covers', 'NNS')]","['reviews', 'place', 'hallway', 'walls', 'covers']"
111, Pretty neat,"['Pretty', 'neat']","['pretty', 'neat']","[('pretty', 'RB'), ('neat', 'NN')]",['neat']
112, Pizza is pretty good.,"['Pizza', 'is', 'pretty', 'good', '.']","['pizza', 'pretty', 'good', '.']","[('pizza', 'NN'), ('pretty', 'RB'), ('good', 'JJ'), ('.', '.')]",['pizza']
113,thin crust..melty cheese,"['thin', 'crust..melty', 'cheese']","['thin', 'crust..melty', 'cheese']","[('thin', 'JJ'), ('crust..melty', 'NN'), ('cheese', 'NN')]","['crust..melty', 'cheese']"
114, Cheaper snack while you are on the strip.,"['Cheaper', 'snack', 'while', 'you', 'are', 'on', 'the', 'strip', '.']","['cheaper', 'snack', 'strip', '.']","[('cheaper', 'JJR'), ('snack', 'NN'), ('strip', 'NN'), ('.', '.')]","['snack', 'strip']"
115,"No matter where you are in Las Vegas, this is one of the best Pizza places there is! Whether your drunk or sober, the pizza is a treat! Be mindful of what time you show up here tho, FRIDAY and SATURDAY nights the line can be out the door and down the hall, but still worth the wait! Their white pizza is a must and their meatball on any pizza is a must! Love this place!","['No', 'matter', 'where', 'you', 'are', 'in', 'Las', 'Vegas', ',', 'this', 'is', 'one', 'of', 'the', 'best', 'Pizza', 'places', 'there', 'is', '!', 'Whether', 'your', 'drunk', 'or', 'sober', ',', 'the', 'pizza', 'is', 'a', 'treat', '!', 'Be', 'mindful', 'of', 'what', 'time', 'you', 'show', 'up', 'here', 'tho', ',', 'FRIDAY', 'and', 'SATURDAY', 'nights', 'the', 'line', 'can', 'be', 'out', 'the', 'door', 'and', 'down', 'the', 'hall', ',', 'but', 'still', 'worth', 'the', 'wait', '!', 'Their', 'white', 'pizza', 'is', 'a', 'must', 'and', 'their', 'meatball', 'on', 'any', 'pizza', 'is', 'a', 'must', '!', 'Love', 'this', 'place', '!']","['no', 'matter', 'las', 'vegas', ',', 'one', 'best', 'pizza', 'places', '!', 'whether', 'drunk', 'sober', ',', 'pizza', 'treat', '!', 'be', 'mindful', 'time', 'show', 'tho', ',', 'friday', 'saturday', 'nights', 'line', 'door', 'hall', ',', 'still', 'worth', 'wait', '!', 'their', 'white', 'pizza', 'must', 'meatball', 'pizza', 'must', '!', 'love', 'place', '!']","[('no', 'DT'), ('matter', 'NN'), ('las', 'VBZ'), ('vegas', 'RB'), (',', ','), ('one', 'CD'), ('best', 'JJS'), ('pizza', 'NN'), ('places', 'NNS'), ('!', '.'), ('whether', 'IN'), ('drunk', 'JJ'), ('sober', 'NN'), (',', ','), ('pizza', 'JJ'), ('treat', 'NN'), ('!', '.'), ('be', 'VB'), ('mindful', 'JJ'), ('time', 'NN'), ('show', 'NN'), ('tho', 'NN'), (',', ','), ('friday', 'JJ'), ('saturday', 'JJ'), ('nights', 'NNS'), ('line', 'NN'), ('door', 'NN'), ('hall', 'NN'), (',', ','), ('still', 'RB'), ('worth', 'JJ'), ('wait', 'NN'), ('!', '.'), ('their', 'PRP$'), ('white', 'JJ'), ('pizza', 'NN'), ('must', 'MD'), ('meatball', 'VB'), ('pizza', 'NN'), ('must', 'MD'), ('!', '.'), ('love', 'VB'), ('place', 'NN'), ('!', '.')]","['matter', 'pizza', 'places', 'sober', 'treat', 'time', 'show', 'tho', 'nights', 'line', 'door', 'hall', 'wait', 'pizza', 'pizza', 'place']"
116,The secret pizza shop is worth the search,"['The', 'secret', 'pizza', 'shop', 'is', 'worth', 'the', 'search']","['the', 'secret', 'pizza', 'shop', 'worth', 'search']","[('the', 'DT'), ('secret', 'JJ'), ('pizza', 'NN'), ('shop', 'NN'), ('worth', 'IN'), ('search', 'NN')]","['pizza', 'shop', 'search']"
117,I would give directions but I don't like getting people lost,"['I', 'would', 'give', 'directions', 'but', 'I', 'do', ""n't"", 'like', 'getting', 'people', 'lost']","['i', 'would', 'give', 'directions', 'i', ""n't"", 'like', 'getting', 'people', 'lost']","[('i', 'NN'), ('would', 'MD'), ('give', 'VB'), ('directions', 'NNS'), ('i', 'VBP'), (""n't"", 'RB'), ('like', 'IN'), ('getting', 'VBG'), ('people', 'NNS'), ('lost', 'VBD')]","['i', 'directions', 'people']"
118,"  3rd floor of the cosmopolitan shopping center, then ask another restaurant for directions","['3rd', 'floor', 'of', 'the', 'cosmopolitan', 'shopping', 'center', ',', 'then', 'ask', 'another', 'restaurant', 'for', 'directions']","['3rd', 'floor', 'cosmopolitan', 'shopping', 'center', ',', 'ask', 'another', 'restaurant', 'directions']","[('3rd', 'CD'), ('floor', 'NN'), ('cosmopolitan', 'NN'), ('shopping', 'NN'), ('center', 'NN'), (',', ','), ('ask', 'VB'), ('another', 'DT'), ('restaurant', 'NN'), ('directions', 'NNS')]","['floor', 'cosmopolitan', 'shopping', 'center', 'restaurant', 'directions']"
119,"
   Great old school NY pizza","['Great', 'old', 'school', 'NY', 'pizza']","['great', 'old', 'school', 'ny', 'pizza']","[('great', 'JJ'), ('old', 'JJ'), ('school', 'NN'), ('ny', 'NN'), ('pizza', 'NN')]","['school', 'ny', 'pizza']"
120,"Good prices, slices, great staff, nice variety","['Good', 'prices', ',', 'slices', ',', 'great', 'staff', ',', 'nice', 'variety']","['good', 'prices', ',', 'slices', ',', 'great', 'staff', ',', 'nice', 'variety']","[('good', 'JJ'), ('prices', 'NNS'), (',', ','), ('slices', 'NNS'), (',', ','), ('great', 'JJ'), ('staff', 'NN'), (',', ','), ('nice', 'JJ'), ('variety', 'NN')]","['prices', 'slices', 'staff', 'variety']"
121,"A great escape from the craziness of vegas, although I was there at 11 am on a Tuesday in December.","['A', 'great', 'escape', 'from', 'the', 'craziness', 'of', 'vegas', ',', 'although', 'I', 'was', 'there', 'at', '11', 'am', 'on', 'a', 'Tuesday', 'in', 'December', '.']","['a', 'great', 'escape', 'craziness', 'vegas', ',', 'although', 'i', '11', 'tuesday', 'december', '.']","[('a', 'DT'), ('great', 'JJ'), ('escape', 'NN'), ('craziness', 'NN'), ('vegas', 'NN'), (',', ','), ('although', 'IN'), ('i', 'JJ'), ('11', 'CD'), ('tuesday', 'JJ'), ('december', 'NN'), ('.', '.')]","['escape', 'craziness', 'vegas', 'december']"
122,I love the secret pizza shop! this place is soo good,"['I', 'love', 'the', 'secret', 'pizza', 'shop', '!', 'this', 'place', 'is', 'soo', 'good']","['i', 'love', 'secret', 'pizza', 'shop', '!', 'place', 'soo', 'good']","[('i', 'NN'), ('love', 'VBP'), ('secret', 'JJ'), ('pizza', 'NN'), ('shop', 'NN'), ('!', '.'), ('place', 'NN'), ('soo', 'VBD'), ('good', 'JJ')]","['i', 'pizza', 'shop', 'place']"
123,"

Came here on two separate occasions","['Came', 'here', 'on', 'two', 'separate', 'occasions']","['came', 'two', 'separate', 'occasions']","[('came', 'VBD'), ('two', 'CD'), ('separate', 'JJ'), ('occasions', 'NNS')]",['occasions']
124,First time was around 1am on a Saturday (er..Sunday morning) and the line was long,"['First', 'time', 'was', 'around', '1am', 'on', 'a', 'Saturday', '(', 'er..Sunday', 'morning', ')', 'and', 'the', 'line', 'was', 'long']","['first', 'time', 'around', '1am', 'saturday', '(', 'er..sunday', 'morning', ')', 'line', 'long']","[('first', 'JJ'), ('time', 'NN'), ('around', 'IN'), ('1am', 'CD'), ('saturday', 'NN'), ('(', '('), ('er..sunday', 'JJ'), ('morning', 'NN'), (')', ')'), ('line', 'NN'), ('long', 'RB')]","['time', 'saturday', 'morning', 'line']"
125,Took about 20 min to get to the front and my oh my...the drunkards have come full force,"['Took', 'about', '20', 'min', 'to', 'get', 'to', 'the', 'front', 'and', 'my', 'oh', 'my', '...', 'the', 'drunkards', 'have', 'come', 'full', 'force']","['took', '20', 'min', 'get', 'front', 'oh', '...', 'drunkards', 'come', 'full', 'force']","[('took', 'VBD'), ('20', 'CD'), ('min', 'NN'), ('get', 'NN'), ('front', 'JJ'), ('oh', 'NN'), ('...', ':'), ('drunkards', 'NNS'), ('come', 'VBP'), ('full', 'JJ'), ('force', 'NN')]","['min', 'get', 'oh', 'drunkards', 'force']"
126,"

I suppose being sober in the cosmopolitan at that time next to the exit of one of the strips most popular clubs doesnt help","['I', 'suppose', 'being', 'sober', 'in', 'the', 'cosmopolitan', 'at', 'that', 'time', 'next', 'to', 'the', 'exit', 'of', 'one', 'of', 'the', 'strips', 'most', 'popular', 'clubs', 'doesnt', 'help']","['i', 'suppose', 'sober', 'cosmopolitan', 'time', 'next', 'exit', 'one', 'strips', 'popular', 'clubs', 'doesnt', 'help']","[('i', 'NN'), ('suppose', 'VBP'), ('sober', 'VB'), ('cosmopolitan', 'JJ'), ('time', 'NN'), ('next', 'JJ'), ('exit', 'NN'), ('one', 'CD'), ('strips', 'VBZ'), ('popular', 'JJ'), ('clubs', 'NNS'), ('doesnt', 'VBP'), ('help', 'NN')]","['i', 'time', 'exit', 'clubs', 'help']"
127,"But we ordered a whole pie...their white pizza which consisted of olive oil, onions, mozzarella, ricotta, and gahhhhlic","['But', 'we', 'ordered', 'a', 'whole', 'pie', '...', 'their', 'white', 'pizza', 'which', 'consisted', 'of', 'olive', 'oil', ',', 'onions', ',', 'mozzarella', ',', 'ricotta', ',', 'and', 'gahhhhlic']","['but', 'ordered', 'whole', 'pie', '...', 'white', 'pizza', 'consisted', 'olive', 'oil', ',', 'onions', ',', 'mozzarella', ',', 'ricotta', ',', 'gahhhhlic']","[('but', 'CC'), ('ordered', 'VBD'), ('whole', 'JJ'), ('pie', 'NN'), ('...', ':'), ('white', 'JJ'), ('pizza', 'NN'), ('consisted', 'VBD'), ('olive', 'JJ'), ('oil', 'NN'), (',', ','), ('onions', 'NNS'), (',', ','), ('mozzarella', 'NN'), (',', ','), ('ricotta', 'NN'), (',', ','), ('gahhhhlic', 'NN')]","['pie', 'pizza', 'oil', 'onions', 'mozzarella', 'ricotta', 'gahhhhlic']"
128,Then we kicked it up with muchrooms and sliced meatball,"['Then', 'we', 'kicked', 'it', 'up', 'with', 'muchrooms', 'and', 'sliced', 'meatball']","['then', 'kicked', 'muchrooms', 'sliced', 'meatball']","[('then', 'RB'), ('kicked', 'VBD'), ('muchrooms', 'NNS'), ('sliced', 'VBD'), ('meatball', 'NN')]","['muchrooms', 'meatball']"
129,OMG A,"['OMG', 'A']","['omg', 'a']","[('omg', 'IN'), ('a', 'DT')]",[]
130,Maze,['Maze'],['maze'],"[('maze', 'NN')]",['maze']
131,Ing,['Ing'],['ing'],"[('ing', 'VBG')]",[]
132,It was so good,"['It', 'was', 'so', 'good']","['it', 'good']","[('it', 'PRP'), ('good', 'JJ')]",[]
133,the new york thin crust and the mounds of ricotta...just a taste explosion in your mouf,"['the', 'new', 'york', 'thin', 'crust', 'and', 'the', 'mounds', 'of', 'ricotta', '...', 'just', 'a', 'taste', 'explosion', 'in', 'your', 'mouf']","['new', 'york', 'thin', 'crust', 'mounds', 'ricotta', '...', 'taste', 'explosion', 'mouf']","[('new', 'JJ'), ('york', 'NN'), ('thin', 'JJ'), ('crust', 'NN'), ('mounds', 'NNS'), ('ricotta', 'VBP'), ('...', ':'), ('taste', 'NN'), ('explosion', 'NN'), ('mouf', 'NN')]","['york', 'crust', 'mounds', 'taste', 'explosion', 'mouf']"
134,"

Only thing was it cost quite a bit...30 bucks to be more specific","['Only', 'thing', 'was', 'it', 'cost', 'quite', 'a', 'bit', '...', '30', 'bucks', 'to', 'be', 'more', 'specific']","['only', 'thing', 'cost', 'quite', 'bit', '...', '30', 'bucks', 'specific']","[('only', 'RB'), ('thing', 'NN'), ('cost', 'NN'), ('quite', 'RB'), ('bit', 'NN'), ('...', ':'), ('30', 'CD'), ('bucks', 'NNS'), ('specific', 'JJ')]","['thing', 'cost', 'bit', 'bucks']"
135,But it was worth it...it was vegas...and what ever..splurge,"['But', 'it', 'was', 'worth', 'it', '...', 'it', 'was', 'vegas', '...', 'and', 'what', 'ever..splurge']","['but', 'worth', '...', 'vegas', '...', 'ever..splurge']","[('but', 'CC'), ('worth', 'NN'), ('...', ':'), ('vegas', 'NN'), ('...', ':'), ('ever..splurge', 'NN')]","['worth', 'vegas', 'ever..splurge']"
136,"

Next day went back and got a slice of classic peperoni","['Next', 'day', 'went', 'back', 'and', 'got', 'a', 'slice', 'of', 'classic', 'peperoni']","['next', 'day', 'went', 'back', 'got', 'slice', 'classic', 'peperoni']","[('next', 'JJ'), ('day', 'NN'), ('went', 'VBD'), ('back', 'RB'), ('got', 'JJ'), ('slice', 'NN'), ('classic', 'JJ'), ('peperoni', 'NN')]","['day', 'slice', 'peperoni']"
137,Still...super great and was really good,"['Still', '...', 'super', 'great', 'and', 'was', 'really', 'good']","['still', '...', 'super', 'great', 'really', 'good']","[('still', 'RB'), ('...', ':'), ('super', 'JJ'), ('great', 'JJ'), ('really', 'RB'), ('good', 'JJ')]",[]
138,"

Soda and beer are served in red cups (same ones u buy at local costco or wherever) and its free refills (soda)","['Soda', 'and', 'beer', 'are', 'served', 'in', 'red', 'cups', '(', 'same', 'ones', 'u', 'buy', 'at', 'local', 'costco', 'or', 'wherever', ')', 'and', 'its', 'free', 'refills', '(', 'soda', ')']","['soda', 'beer', 'served', 'red', 'cups', '(', 'ones', 'u', 'buy', 'local', 'costco', 'wherever', ')', 'free', 'refills', '(', 'soda', ')']","[('soda', 'NN'), ('beer', 'NN'), ('served', 'VBD'), ('red', 'JJ'), ('cups', 'NNS'), ('(', '('), ('ones', 'NNS'), ('u', 'RB'), ('buy', 'VBP'), ('local', 'JJ'), ('costco', 'NN'), ('wherever', 'NN'), (')', ')'), ('free', 'JJ'), ('refills', 'NNS'), ('(', '('), ('soda', 'NN'), (')', ')')]","['soda', 'beer', 'cups', 'ones', 'costco', 'wherever', 'refills', 'soda']"
139,"i dont know what would happen if you brought your own from pre gaming in your hotel...

Went to the restaurant next door and played some fooseball...that was a blast","['i', 'dont', 'know', 'what', 'would', 'happen', 'if', 'you', 'brought', 'your', 'own', 'from', 'pre', 'gaming', 'in', 'your', 'hotel', '...', 'Went', 'to', 'the', 'restaurant', 'next', 'door', 'and', 'played', 'some', 'fooseball', '...', 'that', 'was', 'a', 'blast']","['dont', 'know', 'would', 'happen', 'brought', 'pre', 'gaming', 'hotel', '...', 'went', 'restaurant', 'next', 'door', 'played', 'fooseball', '...', 'blast']","[('dont', 'NN'), ('know', 'NNS'), ('would', 'MD'), ('happen', 'VB'), ('brought', 'VBN'), ('pre', 'RB'), ('gaming', 'VBG'), ('hotel', 'NN'), ('...', ':'), ('went', 'VBD'), ('restaurant', 'JJ'), ('next', 'JJ'), ('door', 'NN'), ('played', 'VBD'), ('fooseball', 'NN'), ('...', ':'), ('blast', 'NN')]","['dont', 'know', 'hotel', 'door', 'fooseball', 'blast']"
140,"the pool table had broken cues...but what do you expect.

The place is located on the 3rd floor between two restaurants...a japanese and a spanish","['the', 'pool', 'table', 'had', 'broken', 'cues', '...', 'but', 'what', 'do', 'you', 'expect', '.', 'The', 'place', 'is', 'located', 'on', 'the', '3rd', 'floor', 'between', 'two', 'restaurants', '...', 'a', 'japanese', 'and', 'a', 'spanish']","['pool', 'table', 'broken', 'cues', '...', 'expect', '.', 'the', 'place', 'located', '3rd', 'floor', 'two', 'restaurants', '...', 'japanese', 'spanish']","[('pool', 'NN'), ('table', 'NN'), ('broken', 'JJ'), ('cues', 'NNS'), ('...', ':'), ('expect', 'VBP'), ('.', '.'), ('the', 'DT'), ('place', 'NN'), ('located', 'VBD'), ('3rd', 'CD'), ('floor', 'NN'), ('two', 'CD'), ('restaurants', 'NNS'), ('...', ':'), ('japanese', 'JJ'), ('spanish', 'JJ')]","['pool', 'table', 'cues', 'place', 'floor', 'restaurants']"
141,it has a large wooden door with no sign...,"['it', 'has', 'a', 'large', 'wooden', 'door', 'with', 'no', 'sign', '...']","['large', 'wooden', 'door', 'sign', '...']","[('large', 'JJ'), ('wooden', 'JJ'), ('door', 'NN'), ('sign', 'NN'), ('...', ':')]","['door', 'sign']"
142,This is very good pizza and unique place,"['This', 'is', 'very', 'good', 'pizza', 'and', 'unique', 'place']","['this', 'good', 'pizza', 'unique', 'place']","[('this', 'DT'), ('good', 'JJ'), ('pizza', 'NN'), ('unique', 'JJ'), ('place', 'NN')]","['pizza', 'place']"
143,I order pepperoni pizza,"['I', 'order', 'pepperoni', 'pizza']","['i', 'order', 'pepperoni', 'pizza']","[('i', 'JJ'), ('order', 'NN'), ('pepperoni', 'NN'), ('pizza', 'NN')]","['order', 'pepperoni', 'pizza']"
144,Oh taste so good,"['Oh', 'taste', 'so', 'good']","['oh', 'taste', 'good']","[('oh', 'JJ'), ('taste', 'NN'), ('good', 'JJ')]",['taste']
145,I will comeback to try different kind of pizza,"['I', 'will', 'comeback', 'to', 'try', 'different', 'kind', 'of', 'pizza']","['i', 'comeback', 'try', 'different', 'kind', 'pizza']","[('i', 'NN'), ('comeback', 'VBP'), ('try', 'VB'), ('different', 'JJ'), ('kind', 'NN'), ('pizza', 'NN')]","['i', 'kind', 'pizza']"
146,Highly recommend!,"['Highly', 'recommend', '!']","['highly', 'recommend', '!']","[('highly', 'RB'), ('recommend', 'NN'), ('!', '.')]",['recommend']
147,"This place is great after a night of heavy drinking!

The white pizza is my personal favorite","['This', 'place', 'is', 'great', 'after', 'a', 'night', 'of', 'heavy', 'drinking', '!', 'The', 'white', 'pizza', 'is', 'my', 'personal', 'favorite']","['this', 'place', 'great', 'night', 'heavy', 'drinking', '!', 'the', 'white', 'pizza', 'personal', 'favorite']","[('this', 'DT'), ('place', 'NN'), ('great', 'JJ'), ('night', 'NN'), ('heavy', 'JJ'), ('drinking', 'NN'), ('!', '.'), ('the', 'DT'), ('white', 'JJ'), ('pizza', 'NN'), ('personal', 'JJ'), ('favorite', 'NN')]","['place', 'night', 'drinking', 'pizza', 'favorite']"
148," The offer a white deep dish pizza on occasion that is absolutely heavenly!

There is sometimes a line but there are pin ball and arcade games to keep you entertained while you wait","['The', 'offer', 'a', 'white', 'deep', 'dish', 'pizza', 'on', 'occasion', 'that', 'is', 'absolutely', 'heavenly', '!', 'There', 'is', 'sometimes', 'a', 'line', 'but', 'there', 'are', 'pin', 'ball', 'and', 'arcade', 'games', 'to', 'keep', 'you', 'entertained', 'while', 'you', 'wait']","['the', 'offer', 'white', 'deep', 'dish', 'pizza', 'occasion', 'absolutely', 'heavenly', '!', 'there', 'sometimes', 'line', 'pin', 'ball', 'arcade', 'games', 'keep', 'entertained', 'wait']","[('the', 'DT'), ('offer', 'NN'), ('white', 'JJ'), ('deep', 'JJ'), ('dish', 'NN'), ('pizza', 'NN'), ('occasion', 'NN'), ('absolutely', 'RB'), ('heavenly', 'RB'), ('!', '.'), ('there', 'EX'), ('sometimes', 'RB'), ('line', 'NN'), ('pin', 'NN'), ('ball', 'NN'), ('arcade', 'VBD'), ('games', 'NNS'), ('keep', 'VB'), ('entertained', 'VBD'), ('wait', 'NN')]","['offer', 'dish', 'pizza', 'occasion', 'line', 'pin', 'ball', 'games', 'wait']"
149, The restaurant is small but very retro feeling,"['The', 'restaurant', 'is', 'small', 'but', 'very', 'retro', 'feeling']","['the', 'restaurant', 'small', 'retro', 'feeling']","[('the', 'DT'), ('restaurant', 'NN'), ('small', 'JJ'), ('retro', 'NN'), ('feeling', 'NN')]","['restaurant', 'retro', 'feeling']"
150, I go here every time I'm in Cosmo.,"['I', 'go', 'here', 'every', 'time', 'I', ""'m"", 'in', 'Cosmo', '.']","['i', 'go', 'every', 'time', 'i', ""'m"", 'cosmo', '.']","[('i', 'NN'), ('go', 'VBP'), ('every', 'DT'), ('time', 'NN'), ('i', 'JJ'), (""'m"", 'VBP'), ('cosmo', 'NN'), ('.', '.')]","['i', 'time', 'cosmo']"
151,The pizza was tender and delicious,"['The', 'pizza', 'was', 'tender', 'and', 'delicious']","['the', 'pizza', 'tender', 'delicious']","[('the', 'DT'), ('pizza', 'NN'), ('tender', 'NN'), ('delicious', 'JJ')]","['pizza', 'tender']"
152,  It just melts in your mouth,"['It', 'just', 'melts', 'in', 'your', 'mouth']","['it', 'melts', 'mouth']","[('it', 'PRP'), ('melts', 'VBZ'), ('mouth', 'NN')]",['mouth']
153," I love round table's king arthur, but this pizza just melts in your mouth","['I', 'love', 'round', 'table', ""'s"", 'king', 'arthur', ',', 'but', 'this', 'pizza', 'just', 'melts', 'in', 'your', 'mouth']","['i', 'love', 'round', 'table', ""'s"", 'king', 'arthur', ',', 'pizza', 'melts', 'mouth']","[('i', 'NN'), ('love', 'VBP'), ('round', 'NN'), ('table', 'NN'), (""'s"", 'POS'), ('king', 'NN'), ('arthur', 'NN'), (',', ','), ('pizza', 'NN'), ('melts', 'NNS'), ('mouth', 'VBP')]","['i', 'round', 'table', 'king', 'arthur', 'pizza', 'melts']"
154, I devoured my slice in a flash,"['I', 'devoured', 'my', 'slice', 'in', 'a', 'flash']","['i', 'devoured', 'slice', 'flash']","[('i', 'NN'), ('devoured', 'VBD'), ('slice', 'NN'), ('flash', 'NN')]","['i', 'slice', 'flash']"
155, My brother and I then bought a large and devoured that as well,"['My', 'brother', 'and', 'I', 'then', 'bought', 'a', 'large', 'and', 'devoured', 'that', 'as', 'well']","['my', 'brother', 'i', 'bought', 'large', 'devoured', 'well']","[('my', 'PRP$'), ('brother', 'NN'), ('i', 'NN'), ('bought', 'VBD'), ('large', 'JJ'), ('devoured', 'VBN'), ('well', 'RB')]","['brother', 'i']"
156, Pizza lovers have to come here,"['Pizza', 'lovers', 'have', 'to', 'come', 'here']","['pizza', 'lovers', 'come']","[('pizza', 'NN'), ('lovers', 'NNS'), ('come', 'VBP')]","['pizza', 'lovers']"
157," It is on the expensive side for a slice of pizza, but overall is an amazing experience.","['It', 'is', 'on', 'the', 'expensive', 'side', 'for', 'a', 'slice', 'of', 'pizza', ',', 'but', 'overall', 'is', 'an', 'amazing', 'experience', '.']","['it', 'expensive', 'side', 'slice', 'pizza', ',', 'overall', 'amazing', 'experience', '.']","[('it', 'PRP'), ('expensive', 'JJ'), ('side', 'NN'), ('slice', 'NN'), ('pizza', 'NN'), (',', ','), ('overall', 'JJ'), ('amazing', 'JJ'), ('experience', 'NN'), ('.', '.')]","['side', 'slice', 'pizza', 'experience']"
158,Great new york style pizza,"['Great', 'new', 'york', 'style', 'pizza']","['great', 'new', 'york', 'style', 'pizza']","[('great', 'JJ'), ('new', 'JJ'), ('york', 'NN'), ('style', 'NN'), ('pizza', 'NN')]","['york', 'style', 'pizza']"
159,Some of the toppings are not what you expect,"['Some', 'of', 'the', 'toppings', 'are', 'not', 'what', 'you', 'expect']","['some', 'toppings', 'expect']","[('some', 'DT'), ('toppings', 'NNS'), ('expect', 'VBP')]",['toppings']
160,The sausage and meatball are actually shaved which gives it a nice consistency,"['The', 'sausage', 'and', 'meatball', 'are', 'actually', 'shaved', 'which', 'gives', 'it', 'a', 'nice', 'consistency']","['the', 'sausage', 'meatball', 'actually', 'shaved', 'gives', 'nice', 'consistency']","[('the', 'DT'), ('sausage', 'NN'), ('meatball', 'NN'), ('actually', 'RB'), ('shaved', 'VBD'), ('gives', 'VBZ'), ('nice', 'JJ'), ('consistency', 'NN')]","['sausage', 'meatball', 'consistency']"
161,"Before they serve your pizza, they give it a toast which makes the thin crust crispy","['Before', 'they', 'serve', 'your', 'pizza', ',', 'they', 'give', 'it', 'a', 'toast', 'which', 'makes', 'the', 'thin', 'crust', 'crispy']","['before', 'serve', 'pizza', ',', 'give', 'toast', 'makes', 'thin', 'crust', 'crispy']","[('before', 'IN'), ('serve', 'NN'), ('pizza', 'NN'), (',', ','), ('give', 'VB'), ('toast', 'NN'), ('makes', 'VBZ'), ('thin', 'JJ'), ('crust', 'NN'), ('crispy', 'NN')]","['serve', 'pizza', 'toast', 'crust', 'crispy']"
162,Real nice.,"['Real', 'nice', '.']","['real', 'nice', '.']","[('real', 'JJ'), ('nice', 'NN'), ('.', '.')]",['nice']
163,This place was so hidden that some of the Cosmo staff couldn't direct us in the right direction,"['This', 'place', 'was', 'so', 'hidden', 'that', 'some', 'of', 'the', 'Cosmo', 'staff', 'could', ""n't"", 'direct', 'us', 'in', 'the', 'right', 'direction']","['this', 'place', 'hidden', 'cosmo', 'staff', 'could', ""n't"", 'direct', 'us', 'right', 'direction']","[('this', 'DT'), ('place', 'NN'), ('hidden', 'JJ'), ('cosmo', 'NN'), ('staff', 'NN'), ('could', 'MD'), (""n't"", 'RB'), ('direct', 'VB'), ('us', 'PRP'), ('right', 'JJ'), ('direction', 'NN')]","['place', 'cosmo', 'staff', 'direction']"
164,"

I thought it was good, very greasy, and full of cheese","['I', 'thought', 'it', 'was', 'good', ',', 'very', 'greasy', ',', 'and', 'full', 'of', 'cheese']","['i', 'thought', 'good', ',', 'greasy', ',', 'full', 'cheese']","[('i', 'NN'), ('thought', 'VBD'), ('good', 'JJ'), (',', ','), ('greasy', 'JJ'), (',', ','), ('full', 'JJ'), ('cheese', 'NN')]","['i', 'cheese']"
165,Only downfall is that they don't have ham,"['Only', 'downfall', 'is', 'that', 'they', 'do', ""n't"", 'have', 'ham']","['only', 'downfall', ""n't"", 'ham']","[('only', 'RB'), ('downfall', 'VBP'), (""n't"", 'RB'), ('ham', 'VB')]",[]
166,"I luv ham, so a pizza without ham is like rice without meat, water without ice, and a shower without soap to me","['I', 'luv', 'ham', ',', 'so', 'a', 'pizza', 'without', 'ham', 'is', 'like', 'rice', 'without', 'meat', ',', 'water', 'without', 'ice', ',', 'and', 'a', 'shower', 'without', 'soap', 'to', 'me']","['i', 'luv', 'ham', ',', 'pizza', 'without', 'ham', 'like', 'rice', 'without', 'meat', ',', 'water', 'without', 'ice', ',', 'shower', 'without', 'soap']","[('i', 'NN'), ('luv', 'VBP'), ('ham', 'NN'), (',', ','), ('pizza', 'NN'), ('without', 'IN'), ('ham', 'NNS'), ('like', 'IN'), ('rice', 'NN'), ('without', 'IN'), ('meat', 'NN'), (',', ','), ('water', 'NN'), ('without', 'IN'), ('ice', 'NN'), (',', ','), ('shower', 'JJR'), ('without', 'IN'), ('soap', 'NN')]","['i', 'ham', 'pizza', 'ham', 'rice', 'meat', 'water', 'ice', 'soap']"
167,"Basically, it's a necessity to me","['Basically', ',', 'it', ""'s"", 'a', 'necessity', 'to', 'me']","['basically', ',', ""'s"", 'necessity']","[('basically', 'RB'), (',', ','), (""'s"", 'POS'), ('necessity', 'NN')]",['necessity']
168,"The huge pepperoni slices and sliced meatballs was filling, but it would have tasted better with ham","['The', 'huge', 'pepperoni', 'slices', 'and', 'sliced', 'meatballs', 'was', 'filling', ',', 'but', 'it', 'would', 'have', 'tasted', 'better', 'with', 'ham']","['the', 'huge', 'pepperoni', 'slices', 'sliced', 'meatballs', 'filling', ',', 'would', 'tasted', 'better', 'ham']","[('the', 'DT'), ('huge', 'JJ'), ('pepperoni', 'NN'), ('slices', 'NNS'), ('sliced', 'VBD'), ('meatballs', 'NNS'), ('filling', 'NN'), (',', ','), ('would', 'MD'), ('tasted', 'VB'), ('better', 'JJR'), ('ham', 'NN')]","['pepperoni', 'slices', 'meatballs', 'filling', 'ham']"
