,business_id,cool,date,funny,review_id,stars,text,useful,user_id
231628,iCQpiavjjPzJ5_3gPD5Ebg,0,2013-07-09,0,5k5zT7SlY6cv1wzoEn6D0g,5,"Will, Hector make a great pizza. Nice casual environment to enjoy a $5 pizza.  Buried on third floor of the Cosmo hotel surrounded by $$$ restaurant.  A definite ""gotta go"" for a excellent slice of real NY pizza",0,NNPl3sB-B7ARmkHXFNaPSw
235274,iCQpiavjjPzJ5_3gPD5Ebg,0,2012-02-22,0,yrN66WBg3lHxkx8uJsSPKw,5,The best pizza in town and great beer. Defiantly a must have when in Las Vegas.,0,CJDFWY5R6rh6pB7hL_B2xw
236673,iCQpiavjjPzJ5_3gPD5Ebg,0,2013-09-26,0,SGxB5_yKUCbvsbeqNVB9jQ,5,"Great pizza, and super cheap. Just like New York. It's on the 3rd floor just straight and to the left once you get off the escalator and down the vinyl cover decorated hallway like other reviewers stated. We talked to the guys there about the myths that they import their water from Brooklyn and their Italian flour from Italy. They said, ""no, it's just really good pizza with regular water and ingredients.""

Probably the best New York style pizza on the strip.",3,QojMaPonwhVMef_E0x3YGA
237120,iCQpiavjjPzJ5_3gPD5Ebg,0,2014-05-14,0,-eL24csoOdvbyBeROdYCTA,3,"I was surprised that so many good reviews for this pizza. So I went to find it, it's really hard to find it by yourself since it isn't on the list near the escalator. Better to ask the persons working there. 

The place is small and simple, very different from the environment. I cared about the environment of the restaurant a lot! This place is not a good place, I have to say.

But the taste is good, I think. If u want to have a meal fast, it would be ur option.",1,627UjdPOyOcx3VAsRwfxhA
238138,iCQpiavjjPzJ5_3gPD5Ebg,0,2014-11-15,0,kBrOGGJin4zarf-26hpYVg,3,"Although the pizza might be good, the lines at 2am are nuts and last forever. It's only pizza, hard to think you'll spend over an hour in this line.


Good food, just need to serve customers faster.",0,3raKk2mtXoiSNwUZ_dku8Q
241812,iCQpiavjjPzJ5_3gPD5Ebg,1,2014-06-15,1,PXQFiZq08ti417ih2oLt9Q,1,"The wait was about 30 minutes for this place on a Saturday night, considering that awesome late night urge to consume pizza after copious amounts of drinking and debauchery.

My friends and I waited in line, and they managed to order their pizzas. I was behind them, and the guy taking orders/making pizza looked me over and went on to the next person. I figured I'd have my order taken at the cashier, but no dice. When I got to the cashier, she asked me what I'd ordered, and when I told her nothing yet, she looked to the pizza guy. Dude had the gall to say I'd cut in line? Maybe he missed the fact that a friend of mine ahead of me handed me a water bottle as they were paying for their order. Not sure what his deal was, but my business is better spent elsewhere. Took them about an hour to make the pizzas, too- way too long for anyone impatiently waiting to get their grub on. I'm sure they'll make their money off of other customers coming back from clubs drunk.

PS The pizza's mediocre, but insobriety makes everything better, doesn't it? Not worth the buck.",1,V2BIRBZQZHqSc3SmDcUxfA
243621,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-04-13,0,YCRhZOs1eRnlpGO9aLZXGg,4,"Pizza was yummy... 

I had the White Pizza which I really enjoyed!!  It had a garlicky taste and no red sauce!
My daughter had a silce of Cheese Pizza.  She said it was crispy and cheesy.

Their drinks are expensive but served in a Red Solo Cup!!",0,zaE6VkvJwU1_TTwEyUlBDQ
244151,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-03-26,0,XRT7p9CvpC1J79hTu7Cw2Q,5,"Like many humans, I love pizza. But this place. I'm ready to have a love affair with this pizza. The rigatoni, mozzarella, and garlic pizza was so delicious and foldable, and grease was literally dripping down my arm. 
What a fun place! It really is a hole in the wall. You go to the third floor and then just go straight down the sketchy hallway.",0,-hb-jWOSILqYDe8HLrr9aQ
248061,iCQpiavjjPzJ5_3gPD5Ebg,0,2011-06-10,0,K46joBv_G5SUhO-U0qWmEA,4,"Traveling down a hallway between two fancy restaurants at Cosmopolitan, who would've known that a simple little pizzeria existed.  The pizza was perfect with a light crisp and the perfect amount of drizzly cheese.  The folks at Pizzeria were welcoming and genuinely happy to see you.  I loved that!",0,4puOLDb_mQslnRU1bwgdJw
254991,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-03-02,0,8uONojQUs6ZGDG6_YV9GQA,4,"The best pizza you can find after a night of drinking! Although this place is always packed, the line typically moves quickly and you'll have your food in less than 15 minutes. Prices are ""Vegas moderate"" expect about $20-ish for two slices and two sodas. Always a must have for each of my Vegas trips!",0,Ev-2j2b7hvSOrGf4cWwvog
256286,iCQpiavjjPzJ5_3gPD5Ebg,0,2014-09-02,0,28XUjwK-xyhu0ToR-L2mlA,4,"It was quite a wait for this pizza as we ordered two whole pies, but I gotta say it was worth it.  Maybe I had been drinking too much, and maybe I was too hungry, but the pizza really hit the spot.  The piemakers and cashier were really good about keeping the customers at bay, considering the time that it was taking to get their orders.  We ordered a standard sausage/pepperoni and the white pizza with ricotta, thin crust and cooked just right.  Copiously sprinkled with crushed pepper and you are good to go for an evening out on the town...until you come back for another round in a drunken bout of hunger.  In which case we did at another late night pizza place that didn't quite hit the mark as Secret Pizza did.",0,6gR3RC6vvcpr_3NkKXuQFQ
258262,iCQpiavjjPzJ5_3gPD5Ebg,0,2014-02-13,0,lEbBE9vymV5dTLYvrjfpKA,3,"I wasn't impressed.

During the start of a girls weekend in Vegas, we set our sights on Secret Pizza early on.  Once we ""found it"" (super easy to find), we walked down the album covered hallway to discover minimal seating and zero ambiance.  The pizza is about as good as an average NY pizzeria (which is to say, it's better than most places =P), so if you're looking for a slice of home, that is what you'll get.  Nothing too special, definitely solid, but this stop was definitely made for post Marquee fuel.  If you want better pizza spot with more ambiance, head over to the Aria and hit up Five50.",0,H5mrlbZz-Yb4mwnkCuhZXw
258453,iCQpiavjjPzJ5_3gPD5Ebg,0,2012-09-11,0,zv6wqO09aRYx_Cq98h9FxA,5,great nyc pizza!!! check it out!!!,1,RNYUUrtD0n745bn2ofe8xA
261864,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-05-28,0,9k-OiEmiGv8k4odt_mumsw,3,"Pizza was good but a bit on the oily side. Expensive for what it is, don't see what the hype is all about.",0,lvN_ulwfEUMt8aXrz8PZmg
264387,iCQpiavjjPzJ5_3gPD5Ebg,0,2016-01-08,0,KRfWq3poltmmlI8GclWNRw,4,Wonderful secret hidden pizza place! Line is always really long but worth the wait! The pizza is extra large and yummy! Recommend especially after concerts at the Chelsea!,0,8IMlB9LJFDmRezdA832X5Q
264654,iCQpiavjjPzJ5_3gPD5Ebg,0,2011-11-30,0,HQaj5XpO-IC1lNlviEvr2w,3,"solid pizza
GREAT crust/dough.. slightly chewy with a nice, light crunch
good flavor but a way too oily

kind of expensive",0,l06feuU6DjNT9jKoms8FGA
265942,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-05-12,0,Hh9gkw2oil4cY8fDuW-maw,4,"This pizza is gooooood. So... what do we do when something is goooood? We go twice in 24 hours.  During our first visit to Secret Pizza at 11am on a Saturday morning, there was no line and no wait. Piping hot pizza served to you right away. We grab a seat at the clean and sparkly counter and all is right with the world.

Our second time visiting secret pizza, we head up to the third floor at around 1am. We encounter several people in the elevators all vying for the same pep slice. Some friendly conversation ensues, and suddenly without further discourse, folks start stretching out their legs, warming up pushing their way towards the elevator door. As soon as this door opens in the elevator, I kid you not,  there is a mad dash to the ""secret"" hallway. This would have been epic, however, we are all  stopped in our tracks because there is a line of about 30 people ahead of us. Womp. Womp. The line moved pretty fast. It took about 15 minutes to get our slices. However, the state of the little pizzeria was quite different from our 11am visit. At this point in the night, the counters are littered with pizza crusts, empty drink cups and used napkins soaked in pizza grease. The red pepper and garlic shakers are empty and the woman ringing up your pizza, will tell you ""No"" before you're even done with your question (the lady ahead tried to ask for ranch dipping sauce for her crust). The pizza was just as good though.",0,E4D0kGycIa3BFppYlp9JZA
267317,iCQpiavjjPzJ5_3gPD5Ebg,0,2016-08-18,0,bcZJ8m_nJ8q1_nNRAB9i5g,5,Secret pizza is the perfect spot to come after hitting up marquee and a long night of drinking. Their pizza always hits the spot!!,0,43FvjeZu1HowUoIwzdDwIA
272088,iCQpiavjjPzJ5_3gPD5Ebg,0,2016-01-20,0,uGuIY-X29LABsBiHd0U4hg,5,Located in Cosmo on 3rd floor next to the elevator. If ur feeling like a casual pizza...this is ur spot! Tried the veggie slice and deep dish white,1,YxYeDA9bbQk-XgVyY4_KTA
275600,iCQpiavjjPzJ5_3gPD5Ebg,0,2016-04-09,0,2-PpLvQucnKJCEEdFzz1rQ,5,"We'd heard about this ultra cool, secret pizza joint in The Cosmo about a month before we stayed there. When we checked in we asked about it and decided that was going to be our first meal of the trip. We found it and walked in, saw the pizza and it was over. I ordered the white pizza and my husband ordered pepperoni and meatball. Both were nothing short of awesome. I preferred the white, it was so simple but some of the best I've ever had. We went back 2 more times during our stay and each time the service and pizza were great. Perfect place to grab a quick slice before or after a night out...or anytime, for that matter. A MUST DO, when in Vegas.",0,G5-0p7HdbedMv6bYabCxQw
277241,iCQpiavjjPzJ5_3gPD5Ebg,0,2012-10-07,0,YGatwevVq2gtU9HbMlY6zw,3,Idk I was still hungry after one slice. But it's got a good taste and its super greasy and cheesy.,0,TRtc4_sAYQkJUaL8rmzIAA
281220,iCQpiavjjPzJ5_3gPD5Ebg,0,2016-07-18,0,nwmr2QeNwmAJpmYWByQlzg,5,Great little hole in the wall pizza joint on level 3 of the Cosmopolitan.  New York style pizza was great and affordable compared to all the expensive restaurants.    Will definitely visit again!,0,b3VdhLvLPRgVz0PPHOleDw
281252,iCQpiavjjPzJ5_3gPD5Ebg,0,2011-08-10,0,-HGxT3OFId94lOmvBF0DXw,4,"After a long night flight from the East Coast I was ready for a quick bit before bed. We decided to give this place a try, i have to say I almost walked out because of the long line and no where to sit... but the hunger overcame me!!  So the line went by quick, the pizza slices are made to order!! Finally I don't have to share with my husband, we both get what we want!!  Thank goodness I didn't walk out, this was delish!!
Hope to stay at City Center again, so I can have some yummy pizza",0,1J76ssCj2DYgIXWTBdFnuA
288805,iCQpiavjjPzJ5_3gPD5Ebg,0,2014-01-05,0,DzqXb1cp_Irh3C_deq2yAw,4,Pizza is really as good as it gets in Vegas.  However it is really pricey.  $5.00 a slice and $25.00 for a large cheese is the most expensive pizza I've ever seen.,0,8tQZLrlqRBbdayCR6AknUw
291206,iCQpiavjjPzJ5_3gPD5Ebg,0,2017-10-26,0,Re_VGdugXd6ocIG8AKe4sw,4,Had the white pizza slice...it was delicious! The staff was nice and welcoming. There's not a lot of seating--so be prepared to grab it to-go and eat it elsewhere. This was the most inexpensive place i've eaten on the strip and it doesn't disappoint!,0,lmJhqCVY5KLjLbRVISlUdQ
301859,iCQpiavjjPzJ5_3gPD5Ebg,0,2016-08-03,0,vYn5ySWNDJruO1D6fIUOJw,5,"One food stop that never disapoints! Where ever I stay in Vegas I always hit up the Secret Pizza spot in Cosmo.  It's worth finding if you like giant slices of amazing pizza. Nothing fancy about the dinning area, the focus is all on some of the best pizza you'll ever have.  The last couple times I went there was a pinball machine that's fun to play when it's not busy. It satisifies that urge a quick snack without dropping a ton on a fancy resturant. 
I highly recommend this place to everyone.",0,7Q_mocpcbNV-7-a7t8Qdng
303408,iCQpiavjjPzJ5_3gPD5Ebg,0,2011-09-15,0,y3U0IssFvZa6k_itgc6jfQ,4,"Prices went up.  Still a good deal on the Strip, but not a super good deal.  This makes me sad :(

Oh, and the pizza is still yumtastic.",2,ELfzWgdf64VBLi5z1ECItw
309308,iCQpiavjjPzJ5_3gPD5Ebg,0,2012-09-06,2,K3-ejK37L5L6-6336ZMeEQ,5,Frickin awesome!!!! I love secret pizza! I totally wanna open up a place like this in Hawaii!  No frills just great pizza and great service!  Definitely hitting up this place next time I call in sick!,0,STx9JohoBr7D6JWGCZwj5Q
309731,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-01-13,0,DFZaoghKmKK7uajyxEV7Hw,3,"The pizza tasted really well. The toppings were fresh, and the sauce, cheese, and crust went together well. I didn't like seeing the guy handle money, and then food without washing his hands. Gross.",0,k12XeC4O7xjFeY9jF7zw7A
310153,iCQpiavjjPzJ5_3gPD5Ebg,0,2013-01-01,0,dcswafc4MC2ARZuLqmZnZA,5,"This place is amazing. And I've eaten a lot of different pizzas. NY style done right. The next time I'm in Vegas, I know where I'm headed.",0,h9kV5aT3N3lCa4UQhb7fFw
315124,iCQpiavjjPzJ5_3gPD5Ebg,0,2012-01-03,0,eWOMKclBqaWreN3j6Vitgw,5,"I had the white pizza, which was delicious and lived up to the hype. The guy at the cash register was nice. I also liked that they serve Coke Zero in addition to Diet Coke, but it was $3.25 for a red cup of average soda. That's the most expensive soda I've ever had, even comparing to at restaurants with tables or bars. There are a few stools and a TV inside, and I was able to sit there to eat my pizza since there weren't many people around. I'd definitely come back if I return to Vegas.",0,EtD8Iz5H9f_wOzFYq98fJQ
322047,iCQpiavjjPzJ5_3gPD5Ebg,0,2016-05-10,0,caWpZg9F8bGn-qGhbq8V7w,4,"This is by far my favorite place for a white pizza .... Outside of New York of course. 

Pro: if you're staying in the hotel you can skip the line and order from room service. Same pizza without the line.

Con: No ranch unless you order room service.",0,WqGpSQG2K8sPNYPjNu2wfQ
322623,iCQpiavjjPzJ5_3gPD5Ebg,0,2012-08-22,0,MOQPN-9DW-ZRCMifUe5eHw,4,"This place is another great after the club spot. You can easily walk pass this place and not even know that there is a pizza joint in the back. We stood in line for about 30-45 minutes. I personally thought the wait is too long which is why its getting minus 1 star. However, when I got the pizza, OMG it was delicious! They had a decent variety to choose from and each sliced pizza is heated to order. Prices were fair but no seating---booooo! Would I go here again, yes but only if the line was shorter.",0,_4DfVJPZGNObcAh4zR4rMg
323009,iCQpiavjjPzJ5_3gPD5Ebg,0,2014-08-18,0,FfDHeAADu7OxvmWpWGnO4Q,4,"I've never paid more than $1.50 for what I considered to be delicious pepperoni pizza (which is at costco) but Secret Pizza was recommendation from a friend for a quick lunch since I didn't want to eat fast food. This place does live up to its name since I had to ask two Cosmo employees to point me to the direction of this place; no signs or the name is not on the directory. The place is small and there is counter space for people to quickly eat their pizza but if you want to have conversation I would recommended just heading out right outside where there are couches and pool table to eat and enjoy your meal.

Now onto the food, I first ordered the sausage and pepperoni and within the first bite I was hooked! What makes this great pizza is their crust, it has just right amount of texture between doughy and crunchy. Because of this I've been back 3 times within my 3-day in Vegas needless to say I'll be back!",0,SpSIqiSQU_RBPbT3Pb9gTQ
323668,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-01-24,0,Z9VAZbDe1Uo8_ZNfQ91Vog,3,"Cool little place on the third floor of the Cosmopolitan. Not labeled, if you're not looking for it you'd walk right by it. (Hence the secret).

Tried the white pizza, it wasn't good or bad (Not a big fan of white pizza but went for it). I could see how someone that likes white pizza would enjoy it. I also tried the pepperoni, it was good, but not great. 

For two slices (fairly big) and a 20oz bottle of smart water my total was $15. Rather cheap for food on the strip but not a great deal in general considering most pizzas are $15.",0,rYHy2NZlGIXWI4u8yHydmA
323894,iCQpiavjjPzJ5_3gPD5Ebg,0,2013-09-09,0,0VndNx2IytJp6ZjnDefItQ,4,It really is a secret. Not even on the directory we went up and down until we found it. 3rd floor baby. Be prepared to wait in a cramped space with rowdy hungry drunk people but once you bite into that piece of heaven.. No pizza will ever be the same. Tip--eat it right there or on the couches outside. That's right have no shame. We had a slice there and took the rest back to our room and by then it lost its oomph. There isn't really a place to sit (counters to eat on) and it gets super crowded in there so order ahead. Good luck on having someone answer the phone. I called only 10 times to try to order ahead.,0,AcLda6JyouyzxPhH5Jizag
324745,iCQpiavjjPzJ5_3gPD5Ebg,1,2012-01-21,0,6NVZlOKDJc6gMEbkIpEYGQ,4,"Im a carb girl.  Ordered the pepperoni and pepperoncini pizza & white pizza.. Hey, I was on vacation! The pepperoni and pepperoncini was sooo good. It was rich and almost had a buttery quality about it. The best part was the dough/bread.. It was buttery, crisp, sweet and drool-worthy.",0,PPhB_-teof4WGhXDhSLVSQ
326223,iCQpiavjjPzJ5_3gPD5Ebg,0,2017-04-19,0,dW0WZj6rDDcXqxpxpfI56A,5,A must place to eat when at the Cosmo. My wife and I ate there twice during our stay. The line can be long depending on time you go. We waited about 15 minutes at around 2PM and around 40 minutes at midnight.  My wife had a slice with mushrooms and I tried the white pizza with ricotta and garlic and a slice with meatball and ricotta.  Great pizza at a reasonable price (about $5/slice plus extra for toppings).  Also got a slice of cheesecake since also wanted something sweet - it was a large piece for about $4.50 but was just OK.  Will definitely go again our next stay.,0,CRU3HyO-WMwVCm9WUzCABw
326534,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-03-26,0,0woat8S8xPJdF-a372lBEw,5,Worth the hunt! Very good pizza & a nice alternative to the high price restaurants everywhere else.,0,3l_XRudZ4bhiGYgjZPW54w
327147,iCQpiavjjPzJ5_3gPD5Ebg,1,2014-04-15,1,DLN9KSwrr7W76W6dR9WOEQ,5,"My guy and I try and make it a point to stop by Secret Pizza every time we visit Las Vegas. I can't say I'm a huge pizza connoisseur, but I have tried pizza from a lot of places in my life (most of them turn out to be just OK). And I have to say, this may be the best pizza I've ever had.",1,OPcwROEiroS6XjWXozHchQ
328466,iCQpiavjjPzJ5_3gPD5Ebg,2,2015-09-01,1,D7Me8MurHXLaNsHyupM-rw,5,"A must go to, when in Las Vegas. The pizza is always phenomenal! Don't let the long line deter from the deliciousness awaiting. Located in the Cosmopolitan hotel, I tell all my friends about this place.",1,egp_8Ih4DvJEgARtJdUjuA
329108,iCQpiavjjPzJ5_3gPD5Ebg,0,2011-07-17,0,aKWpIZF0-aFVSaKrUXxcXg,4,"So amazing, definitely a good late night spot. Born and raised on NY pizza and this is as good as it gets to compare.",0,mCsDoI4P9OV60oUfAbBqxw
331501,iCQpiavjjPzJ5_3gPD5Ebg,0,2014-08-17,0,r0987fbDxe4k3hTtkg0JNg,3,"Great crust, but pretty greasy and on the expensive side.  Just a few stools for seating. Kind of cool location and atmosphere.",0,K371r8ObVZkapFMdPrcsMA
331982,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-04-27,0,YvEAa1aXSDbpNRJ5KRG2UQ,5,"This place is great! It took me longer to find it than it did to eat! Great NY style thin crust w cold beer in a red plastic cup. One small TV , but in an age of over indulgence, it was refreshing. It's a must stop to any stay in the strip.",0,kQXQP_Y9f4cygoQZMXDhBA
335038,iCQpiavjjPzJ5_3gPD5Ebg,0,2016-12-20,0,C7uwrHcMf4spM6D5P5qy0w,5,One of the best pizzas I had in a long time. Some of the hotel staff had no idea where it was located but thanks to other Yelp reviews we were able to find it.,0,acT26HIfunVoNrMrUV0ndg
345092,iCQpiavjjPzJ5_3gPD5Ebg,0,2014-08-15,0,lX-OZNrk5p5HpRPMgEId9A,4,"Great place, worth searching. Don't expect the best pizza of your life. Expect amusement, great quality of pizza to go, but, unfortunately, inequal ratio price / quality die to the position and guerilla marketing around it.",0,QI_K7ypQjqz9wh45UIucyg
348992,iCQpiavjjPzJ5_3gPD5Ebg,0,2016-01-24,0,nTK_-2xG-8wKSOW_LnNYow,4,"Loved the white pizza for a quick lunch but 5.50 for a slice is pretty high. However, the flavors were spot on with just the right amount of garlic and creamy ricotta. The crust is fairly thin with a chewy consistency that requires a good bite down and watch the stringy cheese pull away. Definitely fulfills that NYC style pizza crazing.",0,YtBkf37g4oAMtQtTqoIlUA
349473,iCQpiavjjPzJ5_3gPD5Ebg,1,2012-07-16,0,EvUPmov1oLSWNtD8_n3UXw,5,"Amazing, authentic and fun!  Great job we will be back!!!!!  It's definitely NY pizza... If you have never had a NY Za and are used to vegas pizza places then you might not get it.  The crust is perfect and so is everything about the toppings and the little white tiled place. Defiantly worth the drive and the money.",1,GEzdyAxbJqR0_rQEKzwUvw
350488,iCQpiavjjPzJ5_3gPD5Ebg,0,2012-07-20,0,lbIfAChTWIjWYuBMLy9F4g,4,"There's no sign out side so you need to know where it is. Near the Marquee nightclub, it saved us from many hungry nights. There's times where the lines were so long that we had to walk out but what can you do. Nice lounge areas outside that I can go to do eat with my group of friends. Not sure if you can call ahead of time but if I can order in advance, that'd be great.",0,RyD0DYYa_P4TxsHrvTiLrg
352437,iCQpiavjjPzJ5_3gPD5Ebg,0,2012-01-20,0,Ti9Z6rbd6EUq3d2p7RN8Jg,4,"Secret Pizza it is! All I know is I see tons of people sitting around the middle of a casino with labeless pizza boxes at 2am.  After a very brief attempt, my friends and I finally asked and was directed to this random hall that led to the tiny secret pizza place.  You can buy by the slice or whole pie.  They run efficiently and take your order fast but expect a short line and wait as they reheat your pizza in the oven as it has gotten cold sitting out in display.  They have about 4 kinds of pizza, all NY style so very thin crust and slice but very delicious.  A little high price for pizza in general, but practically free by Vegas restaurant means.

FYI, there are about 5 bar stools and no where else to sit.  It is a true pizza joint, buy your pie and get out.",1,GyYInrWOVwPEqECKOC9T3g
358853,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-06-29,0,E7m_MUjxl6TO-4qG_w5XRw,5,"I only eat pizza in two scenarios: When I'm in NYC and when I'm in Vegas--at Secret Pizza. This is LEGIT NY style pizza and it's absolutely amazing. I almost don't want to tell anyone else about it because it's so secret :). If you can find it, eat it. That's all there is to it.",0,xDfPcv4oUH1FtzYOKZ04VQ
359497,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-03-14,0,xj1txyjRYr2-n8zmvv7ARQ,5,Great value and absolutely delicious pizza! This unmarked hole in the wall on the third floor of Cosmo hotel next to Blue Ribbon Sushi is one of the best kept secrets on the strip. I couldn't get enough!,0,ronz-epnaIul1Pz1WniorQ
363304,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-05-07,0,2b9zEFVioDdsg38vsESlwQ,5,Great pizza and excellent service. I love secret things and I love pizza so you can imagine I'll cross the street for such things! Yummy.,0,L5xhJylEBfEqpTF0ZJecHQ
366804,iCQpiavjjPzJ5_3gPD5Ebg,0,2014-07-07,0,5kUn2owhca0GC3111kUTzg,5,"Got off of the plane, found my friend (a local), claimed my luggage, and then were off to Secret Pizza for lunch!  Hidden away on the 3rd floor of the Cosmopolitan, completely unmarked, down a long photo covered hallway, Secret Pizza is a heavenly find.  Here, you can buy full pizzas or slices.  Since we were just having lunch, my friend and I both ordered slices and a soda.  Choosing from the options on hand, I got two slices of meatball and ricotta.  They were AMAZING!  Thin, perfectly crispy crust, with ample portions of sliced meatball and ricotta blotches, and just the right amount of sauce in between.  Make your selection and the guy behind the counter cuts your slice and places it in the oven to reheat and crisp up, giving you a beautifully hot, melty slice of pizza goodness!",0,RkAW6kqHiuY8CU1pSC9-LQ
368030,iCQpiavjjPzJ5_3gPD5Ebg,0,2013-01-23,0,C7VQ3VcpHj2uVezcsqoUfg,2,"Salty, boring and pricey pizza. Guess all the great reviews are from all the drunks who come out of the club late at night and think they remember the pizza was the best they ever had. Two stars cause the guys making the pizza were really nice.",2,SBItn__T0YSs54LVk2zRgw
371244,iCQpiavjjPzJ5_3gPD5Ebg,0,2011-04-22,0,pZxosFD6AbBOGwwiFA0BuQ,4,"Pizza was great (had the Margherita)!  The calamari was EXCELLENT!!!!!  Best calamari EVER!  Everytime I go to vegas I am getting the calamari!  EVERYTIME!!  

The only thing I hated was the seating arrangement.  I like a place with a lot of booths.

Service was great and drinks were nice and strong ;)",0,P1VroxmZBH0k0nbp0RuAqg
371651,iCQpiavjjPzJ5_3gPD5Ebg,0,2013-03-04,0,x8QHVpis4RN5EWKVQ795YQ,4,Sometimes you just want a big slice of pizza and sometimes it can't be kept a secret.,0,T4aQOQgDzORlEcWOz6pzVg
374663,iCQpiavjjPzJ5_3gPD5Ebg,0,2014-03-22,0,DpQHCZu2qf96KP6thJRqOw,4,"I've gone here maybe 3 times now. I love the pizza! Especially the sausage and pepperoni! The cheese pizza is also very good. 
I like to buy a whole pie and have it for breakfast too! It's even better the next day. A whole pie can easily feed 4-5 people. I know this because 5 dudes from New York came in and ate the whole thing! Yes, it totally reminded them of pizzerias from their home town of NYC! That says a lot! 
Yeah, you can have the high end stuff outside of this place, but the satisfaction will be the same and the pizza will be cheaper! You'll love it! Trust me! If they added more seating, 5 stars easy!",0,STmdDej5zaW-H9ZuSvDlUg
378323,iCQpiavjjPzJ5_3gPD5Ebg,0,2017-11-11,0,2WlhWK6RDuYkq81dtAMn9Q,5,"The pizza was great. I ordered 2 slices of regular pizza, they are amazing, the crust are thin and there are a lot topping. Highly recommend this place. It's hard to find the place because its not listed on the directory, it's located on the 3rd floor in the Cosmopolitan Hotel, next to Blue Ribbon.",1,fqpAEteej7oHlUkFEsnPNA
379539,iCQpiavjjPzJ5_3gPD5Ebg,1,2015-04-06,1,7Y2oqFAVNha1dJzQXH5KFg,4,"Lovely fresh pizza slices and not too expensive. Nice little entrance/hallway with a wicked pinball machine and a Galaga arcade machine there too.

I have, however, marked it down a star. This is because it's a pain in the balls to find one you've had (quite) a few drinks, and it was a hell of a walk back to wherever the hell it was I came from when I thought that pizza, from an almost unfindable location, when my brain and all other faculties were almost fatally crippled through the liberal application of tequila, was a good idea.

The staff there are great too.",1,Cy01e8fZxc9uZd4FN9Lc3g
382919,iCQpiavjjPzJ5_3gPD5Ebg,0,2016-05-18,0,uEyKDlSlUgvB3Ka0YNKStQ,5,"I love, love, LOVE this pizza! I'm always up to try new places where they serve pizza! It was 3 am and I was craving pizza, so we went across the street to go get some. Let me tell you, this pizza is amazing. I definitely will keep going whenever I'm in Vegas.",0,_0C3vsyetVNMssr0TiYKrg
387225,iCQpiavjjPzJ5_3gPD5Ebg,0,2012-12-26,0,fkAxT7HkOI_sbrqphyTmcw,5,"This might be the best pizza I've ever had.

The prices are extremely reasonable for Las Vegas and the staff is really friendly.  I've had their cheese pizza, meat lovers pizza (HIGHLY recommend), and a slice of ricotta & meatball.  They have beer on tap (simply: PBR or IPA).  They have video games.  It has become a staple of any Vegas visit for me.",0,ZkR9YgDZpxT6ze_BlIMc2w
390050,iCQpiavjjPzJ5_3gPD5Ebg,0,2012-03-17,0,FHNfl-xCJjKbwDYswQBgHg,5,It is hard to find but it is definitely worth it!  You can either pick up a pizza or just get a slice immediately.  They are open late and it is great to get a slice after going out at night.,1,2xkABRbEo4RQlMFBbAl-Pw
393051,iCQpiavjjPzJ5_3gPD5Ebg,0,2011-12-13,0,T9Poq9tBsT-e4p0szKzizg,3,"Over-rated.  Guy making them got OJT about how to make pizza.
Ingredients are said to be made fresh daily from a couple of NYC
guys but it was over-priced and over-hyped for what it its.
Settobello better.",0,tN6OXDT6sWm0gddQyb1HUw
394768,iCQpiavjjPzJ5_3gPD5Ebg,0,2011-03-16,0,id9vZewMQQoxGXPI1dHy6Q,5,I love secret places...and the pizza was delicious! The staff was friendly and attentive!! I'll be in for a slice every time I'm here!!,0,BteXQNRy2HQMtJpDwkjQTQ
397628,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-04-16,0,yhXBZCxCXBF598FUjHOYQg,5,"Excellent. Love the Where's Waldo aspect of finding this place. Around one am we waited in line for about a half hour-not bad at all!! The pizza was excellent. Love the experience. The crust is amazing. The pepperoni is pretty spicy, fyi. If I went back j would just get the cheese pizza as the pepperoni made my lips burn lol. But if you like spicy it's very good.",0,zBRCCOiHF95S14uoIfZOcw
397712,iCQpiavjjPzJ5_3gPD5Ebg,0,2015-12-01,0,6NYoSx36HARRyzszzoaYZw,5,The pizza was delicious and it the line moved quickly. There is minimal room to sit so plan on taking it out to the couch area or elsewhere but it is definitely worth it.,0,dXEgE4VCa5TMo0lY_AarWg
398584,iCQpiavjjPzJ5_3gPD5Ebg,0,2013-10-08,4,pMXS6i8Px7giUEUi3YCW0g,1,"I wish that who ever told me about 'Secret Pizza', kept it a secret!

4.50 for a regular slice of greasy limp under cooked tasteless pie and no tables eat it? Skip on this secret for sure!

'Secret Pizza' rates with any 'run of the mill' joints on the strip.
Skip the Secret and head to MetroPizza, Grimaldi's, or 'DeFara West' Dom Demarco's when is Vegas!",3,45TIAeJSomWHbStQEAWNbg
